x	y
-8.856503805624431180e+00	2.065563865182096208e+02
-3.132306333647867369e+00	2.915522907676727371e+01
2.375320028228632196e+00	1.260434211770183488e+01
4.197257648007205688e+00	3.639220137718277215e+01
-8.481991862227221901e+00	2.003553952637765860e+02
1.259095312982596582e+00	6.743316149310194518e+00
1.655672574849017309e+00	9.776190840602785315e+00
6.166533001912494427e+00	9.861014212430191606e+01
-2.606749729153294837e+00	2.376671933718028740e+01
-6.543726904534850064e+00	1.181644733776545024e+02
-7.358436270317696426e-01	3.270603763374951178e+00
-8.329867050924484317e-01	4.182626474958166085e+00
7.047162103671205102e-01	5.835776373150856067e-01
4.509531955059319586e+00	4.416636957737314617e+01
-3.689504906896572400e+00	3.614141999784009585e+01
-9.589285414729626922e+00	2.457431289082484227e+02
-2.961859254341129954e+00	1.260345624441425905e+01
-9.060466981663209296e+00	2.214541357023420858e+02
-9.072350834323859914e+00	2.112704570998161842e+02
-5.747850646164831545e+00	8.689383906745281649e+01
4.693184495734474382e+00	5.259842723344105053e+01
-5.417994373616570769e+00	7.601963432586978797e+01
1.377891090536904173e+00	8.380079000246826837e+00
7.460417837494880189e+00	1.409973754758147777e+02
-1.841155612464744351e+00	1.605571980919521025e+01
5.199986340781439509e+00	5.543833083574980947e+01
2.253593378167703776e+00	1.431712326106352862e+01
4.533466886151744646e+00	5.371654722557376260e+01
1.363193567162939601e+00	5.592370893056801684e+00
9.610386682068842390e+00	2.342436967255426623e+02
7.532493743492914007e-01	7.867576276531671908e+00
-2.690420079132396225e+00	2.716855473909209095e+01
-3.020329607236240221e+00	1.961224759414452024e+01
8.416626918573832938e+00	1.696471342510969293e+02
9.290311693884731881e-01	-1.711109771761345932e+00
3.724258419433644107e+00	3.202955480074404448e+01
7.265825189341160950e+00	1.254171190194620351e+02
2.178211468539846152e+00	1.096526054194534261e+01
3.943626332324301487e+00	4.184723246528654528e+01
2.465900201497721156e+00	1.851288545739697611e+01
-1.898734975201357145e-01	9.062591862173197121e-01
-9.004032918572242750e+00	2.136990351072733745e+02
9.716121430147723004e+00	2.249452042755141008e+02
